track_id,album_id,artist_id,explicit,track_name,track_popularity
7dZlGaMWGfo1c8bpEXjXyC,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Ghostwriter,28
6RuPiRKVk484T3rBkhq8b6,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Black Opium,26
7xY0PmdnNFCZm75FfKqAVX,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,False,Can't Say No,27
6oeak3iHg8pYvMtXtoXXmc,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Peace Sign,29
6iqQr3mNbH0ZWzhehVH0ti,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Very Best,25
1ZWK01d64kMojQy6b1atLM,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Sorry,34
2nIGf8RGZQ4TfjkYkxBtNf,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,D.O.P.E.,38
1St8MmI015nZJFISzX8ZvN,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Intro,18
2Vc9sEG0AbbaBychRrv7oz,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Hood Billionaire,30
7HcqaBddi7d6rYRRCdFP9s,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Coke Like The 80's,25
28cSVAZL1eO3hTJinvBwfk,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Heavyweight,27
7sB5GzSO3fAwbAXQXnTD3m,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Neighborhood Drug Dealer,29
6HIolM56rxe4gpTAGWxXWm,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Phone Tap,23
7t5AKVjoj1upjOhJkfyyc6,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Trap Luv,24
5nltKrbdEOtPwyY6DUW560,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Elvis Presley Blvd.,24
4L1PcTfqtsDDocHjQEklwv,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Movin' Bass,29
6DLNcEcYP5vTvKDlzRobSC,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,If They Knew,31
1rbhZEID2UYfUxECEMefyM,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Quintessential,23
6sDEDC7gyPMYDpYDgXJnbz,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Keep Doin' That (Rich Bitch),26
1YsdQPXQtSc0Y886b8McEY,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Nickel Rock,27
1d1rXSKZi6FRr04yBJhiEa,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Burn,30
5G9YQJDBPNLWNfWVWB3QeI,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Family Ties,33
2ytMRZLk2EBCuu5lzmVtNB,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Brimstone,21
0WN7qBzxK5XyIr95ZNrHnK,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Wuzzup,23
01GNrY83NvwzBgCJQAq0uA,5fwdtSABKLaSOMT3UhpWa7,1sBkRIssrMs1AbVkOJbc7a,True,Headache,18
28Jr1uWijDa0MrUHCVnGvz,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,False,Intro,28
5YATeCWnXyxO5s7Nw667aw,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Rich Is Gangsta,38
27TcH0BXYL5zsF3WUgieJq,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Drug Dealers Dream,40
639CeDmydlHNERLaijsZB2,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Shots Fired,29
5PU9EPOh36Cw0f5VGcAacw,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Nobody,43
1FfxSgLHUkNCCLdZ7wrCTY,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,The Devil Is A Lie,61
2MJVQndYZSU9g3JYb7628r,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Mafia Music III,39
08ncUNQWKOWolhxPbgrlMm,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,War Ready,43
0udHm6iuVrRsYPOYK07Y6S,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,What A Shame,34
3BCY3N5MfRXjTpcIyHuKLZ,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Supreme,37
7sR1tVShZYHojzbhZxlMcb,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Blk & Wht,34
5XlpERwWF8SuVUL9AghEIh,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Dope Bitch Skit,27
3JVYnKW43PB7aO1X9kSDxH,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,In Vein,56
39RWgrQOBCLQH88wy0TBm9,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Sanctified,52
50yg2L61dxW0BDF5Akl1Cz,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Walkin' On Air,35
6sQiCf6PqeB5o4RBrSAZBn,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Thug Cry,49
1g2Jb7I69OzIvFMUXQ2R2X,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Blessing In Disguise,38
0VhEo3pLu1e5o3S42LREeE,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,Paradise Lost,32
5PjbVRRS1YxSJRb3ThSNnE,6a4HHZe13SySfC50BGy8Hm,1sBkRIssrMs1AbVkOJbc7a,True,You Know I Got It (Reprise),48
0yNMqx3sYrXtJPyTtBjgim,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Intro,1
0kCGYMBmIQkOaEiddfyBwt,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Rich Is Gangsta,8
1T2DVZBpHvIRdE2WxNno72,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Drug Dealers Dream,7
6XHHkgSkV9E09s67p2Lxuu,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Shots Fired,3
0yn9buTUuU21Wh5GRTgxlM,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Nobody,10
5K1UMUaD9wXHdnfwwOLEai,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,The Devil Is A Lie,29
1VJRWtaa5PvbsnqDp78PgU,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Mafia Music III,7
0YgDAiDKmFTrsLOLcrsHYW,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,War Ready,10
4gF3nGxoOnxOLkv37EFK4V,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,What A Shame,7
7k1gbaWmetNCXL1Bu1Taxy,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Supreme,8
3FBhBK5l1mzah7j0pS79St,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Blk & Wht,5
5DzLwJbRIqGY6FIU6uXUwx,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Dope B*tch Skit,1
5mbBlyl1vxSgd9C7gEwhIT,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,In Vein,12
0W0NF2sjwyzdqDkMtB7vXD,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Sanctified,16
0XDFZ5ZPyh4OSiNxGR09ua,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Walkin' On Air,5
1dN4oUBE9wUvJtGskMqyVU,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Thug Cry,11
2pg65UGO8Ox3suGajIO6nL,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Blessing In Disguise,5
0NYSXhrAA6dz5dyOEws5Nb,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,Paradise Lost,4
6K5gVvzKmqYMSSSEyrJmB5,75ROmPqjav9gpY7BcmR37Y,1sBkRIssrMs1AbVkOJbc7a,False,You Know I Got It (Reprise),18
2xAbLxlhdOWnEzKUwdlXJp,1iTpsn4fbLlsdKDKFuUfsH,1sBkRIssrMs1AbVkOJbc7a,False,Intro,18
497tEDw0QxcqHkAuTimYXt,1iTpsn4fbLlsdKDKFuUfsH,1sBkRIssrMs1AbVkOJbc7a,True,Rich Is Gangsta,27
0MrVBtwz9jvB8nm6PAE09A,1iTpsn4fbLlsdKDKFuUfsH,1sBkRIssrMs1AbVkOJbc7a,True,Drug Dealers Dream,28
5cjvx5wTNakWdg9qE4rs4P,1iTpsn4fbLlsdKDKFuUfsH,1sBkRIssrMs1AbVkOJbc7a,True,Shots Fired,19
3xUI5nT22JMppD4Mq0BA58,1iTpsn4fbLlsdKDKFuUfsH,1sBkRIssrMs1AbVkOJbc7a,True,Nobody,30
1dMRwAGThjgwoJetd21QLs,1iTpsn4fbLlsdKDKFuUfsH,1sBkRIssrMs1AbVkOJbc7a,True,The Devil Is A Lie,34
