album_id,artist_id,album_name,album_popularity,releaste_date
6r9ryZTveNqFVOmoN0LEum,13y7CgLHjMVRMDqxdx0Xdo,The Green Album,34,2015-06-09
7aF7wfJb578ttvRYTQsFUx,13y7CgLHjMVRMDqxdx0Xdo,The Green Album,4,2015-06-09
0ty5iwaiepWlGq8g0DKtEy,6oMuImdp5ZcFhWP0ESe6mG,Rich Ni**a Timeline,46,2014-11-05
56PJDByaunMWwCqs5rV3Nc,6oMuImdp5ZcFhWP0ESe6mG,No Label II,64,2014-06-03
7J6fSYFHb5Kgouc4Nr8SZg,6oMuImdp5ZcFhWP0ESe6mG,No Label,15,2013-07-30
70HXQp5RAjM37JHBuvL8Dg,6oMuImdp5ZcFhWP0ESe6mG,Juug Season,3,2013-07-30
2HuT5JdeK6QUrZqK6pTmnI,6oMuImdp5ZcFhWP0ESe6mG,No Label,27,2013-07-11
09psyBBxb8inMHpirWaaWM,6oMuImdp5ZcFhWP0ESe6mG,Juug Season,11,2013-07-10
4YmTZjHk8SmTFTiVMXBN1A,6oMuImdp5ZcFhWP0ESe6mG,Young Rich N*ggas,51,2013-07-09
3ZPy9VAhAgGHen0TIlWI7V,6oMuImdp5ZcFhWP0ESe6mG,Juug Season,24,2011-08-25
3UXeJSdcjjv1rzRztFhiL4,6oMuImdp5ZcFhWP0ESe6mG,Frosted Flakes,46,2019-08-14
1y1l71S4ZveVZQRuqcZk0u,6i392l38cR3uBPF0DbNs7S,Intro,55,2019-08-01
3fc97ZWLIMc1xawhxbKrh2,4IVAbR2w4JJNJDDRFP3E83,East Atlanta Love Letter,77,2018-09-14
7iwGw8ob3YLqZrbKzGFnHi,4IVAbR2w4JJNJDDRFP3E83,FREE 6LACK,74,2016-11-18
09VyQ2zwUx0EBKTJNBUZv1,68kEuyFKyqrdQQLLsmiatm,Yo Love (From "Queen & Slim: The Soundtrack"),25,2019-11-11
2F2fJCV7Jj33hPOLka8bN5,68kEuyFKyqrdQQLLsmiatm,Yo Love (From "Queen & Slim: The Soundtrack"),3,2019-11-11
3cwNClu6TT9TA8QKCqXq9J,0NIIxcxNHmOoyBx03SfTCD,Touch & Go,55,2019-11-07
4u7F9Zlbis1zjAcl3jbLbz,5REHfa3YDopGOzrxwTsPvH,How TF,44,2019-11-05
1Evi2cgfDQsxtakwjMcyIl,5REHfa3YDopGOzrxwTsPvH,How TF,12,2019-11-05
7IlfSnj2lhOWcwi5bBhgw4,1A9o3Ljt67pFZ89YtPPL5X,I Want You Around (feat. 6LACK) [Remix],48,2019-11-01
3EZ0ulSjw5p5jX7od6ASxb,2jJCk4fs0irQjjrG0Yo4I9,Easy (feat. 6LACK),50,2019-09-05
60XFy3v9MvZZBRcIVSYC3j,0NcPKaSNIHAM2RfioH9vMT,Prada Process (feat. 6LACK),49,2019-08-23
39g2Ja05Jgah0iO3TGI11f,4IVAbR2w4JJNJDDRFP3E83,Seasons (with Khalid),55,2019-08-09
6yYnbJJKEoTpvxUTZxfQUl,4oIGrMYn1N1xPNYVXcaEZJ,U Say (feat. 6LACK),57,2019-07-12
1XU6JtA1EFpNJkcv7AHVLt,3KedxarmBCyFBevnqQHy3P,Imported (with 6LACK) (Spanglish Version),38,2019-06-26
29vt4BpW3GYX7hHCbFkhfg,3KedxarmBCyFBevnqQHy3P,Imported (with 6LACK),67,2019-04-09
2H7CLWulZOueBe1Hjtznm1,1o2NpYGqHiCq7FoiYdyd1x,it's not u it's me,63,2019-03-01
2s7zlf3CgyhiCmVptCCJON,1o2NpYGqHiCq7FoiYdyd1x,it's not u it's me,21,2019-03-01
6wZXigN6FZl5FZUQxvGCTE,3sHS70DMNgPxRqx2fUNrRA,MUSHROOM CHOCOLATE (with 6LACK),46,2019-02-12
4j9EVqECBYHL0g9pUEOmIC,4IVAbR2w4JJNJDDRFP3E83,Unfair (Full Version) / Been A While,52,2018-12-21
1dFfgH9TAFJfUx6wdTkJOZ,4IVAbR2w4JJNJDDRFP3E83,Switch (DEVAULT Remix),50,2018-11-16
0vwWltI5IYadfWBU1A1gou,2cWZOOzeOm4WmBJRnD5R7I,Waves (feat. 6LACK),59,2018-11-15
31lHUoHC3P6BRFzKYLyRJO,7rkW85dBwwrJtlHRDkJDAC,Bad Habits (Deluxe),78,2019-03-26
1hTrdWpdPEeXHQWc9GmpxZ,7rkW85dBwwrJtlHRDkJDAC,RECKLESS,72,2018-05-18
6VFETcEfjilkAng073KLt9,7rkW85dBwwrJtlHRDkJDAC,Perfect Timing,70,2017-07-21
4JR29CNW14Zc4Z5vflxkoJ,7rkW85dBwwrJtlHRDkJDAC,NAV,71,2017-02-24
0ooNnSXqH1oTsHo34RO75q,7rkW85dBwwrJtlHRDkJDAC,Know Me,48,2018-11-02
0REw7AR4YxPCz2qs6F4Zmy,7rkW85dBwwrJtlHRDkJDAC,Freshman List,49,2018-03-16
3ZpAmjvMEsr7rsiTUbSS0W,7rkW85dBwwrJtlHRDkJDAC,Wanted You (feat. Lil Uzi Vert),57,2017-11-03
5mjSx6tdrXd47lNLP4TBGq,7rkW85dBwwrJtlHRDkJDAC,Call Me,23,2017-07-14
2IRjT8MhChDlsXCIJCZiTD,7rkW85dBwwrJtlHRDkJDAC,Perfect Timing (Intro),16,2017-07-14
08z3TBkVcyKBxKZzUmEYN2,2WInxWtfee6mRhUQUmIRAH,The Machine, Vol. 2,38,2019-11-01
6J41exElcUa6rK5SJmjV6S,6UCQYrcJ6wab6gnQ89OJFh,Music x Road,66,2019-08-23
4auDowlBHcHVLEFYBc6hbp,6UCQYrcJ6wab6gnQ89OJFh,Swerve (feat. Stefflon Don & NAV),28,2019-08-22
1bnHPO4dKK7IjvgrtVBcQh,50co4Is1HCEo8bhOyUWKpn,So Much Fun,88,2019-08-16
6UGajHeNjVlZN2I9LJhT2l,6WkUZyqghQei2G809wMKuZ,MISUNDERSTOOD,61,2019-07-24
2WrNHOba5u6P9S9xEboaUy,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,84,2019-06-28
3JDiBSlLalqzv0GTEDRi8i,3uJx5SnOM59Li7lCxA3b29,Long Live Mexico,71,2019-06-14
0w3vYULUn9euGoClkYZpRQ,3JugPn0f37nRk6DP7k4xIM,Called It,35,2019-05-24
6I0jDRSSDD6tqGKiEa8aCF,1ZLO8d7zll1WeQJUHaxQer,BLO: The Movie,53,2019-05-03
6JhWUtJleBE134LiNWq2a6,2I9SLklAOG0vdMiUUMNxRl,88GLAM2.5,54,2019-04-12
6GDXnx6AUDGH0tpxXQX0Kn,1pPmIToKXyGdsCF6LmqLmI,The World Is Yours 2,73,2019-03-22
3IO8IPjwXuzPJnoaqkwYrj,0iEtIxbK0KxaSlF7G42ZOp,NOT ALL HEROES WEAR CAPES (Deluxe),80,2018-11-06
0llyIxX3nDC3hobbGibVZl,0c173mlxpT3dSFRgMO8XPh,Double Or Nothing (& Metro Boomin),66,2017-12-08
0MV1yCXcNNQBfwApqAVkH0,1URnnhqYAYcrqrcwql10ft,Without Warning,77,2017-10-30
6VFETcEfjilkAng073KLt9,7rkW85dBwwrJtlHRDkJDAC,Perfect Timing,70,2017-07-21
4I3EcXD4e3KcEoDJfFEZ5b,1URnnhqYAYcrqrcwql10ft,Savage Mode,71,2016-07-15
01hoD9mwYe3mH33y2g1Gkw,0iEtIxbK0KxaSlF7G42ZOp,19 & Boomin,35,2014-06-27
3byNvHu92LAVic5wWPjTXU,0iEtIxbK0KxaSlF7G42ZOp,19 & Boomin,30,2014-06-27
5sAMmOXr23KOxs2wwNp6xN,0c173mlxpT3dSFRgMO8XPh,Pull Up N Wreck (With Metro Boomin),40,2017-11-03
3B59OoKAFqhbnNogoZEDLN,0iEtIxbK0KxaSlF7G42ZOp,Blue Pill,44,2017-10-06
5mjSx6tdrXd47lNLP4TBGq,7rkW85dBwwrJtlHRDkJDAC,Call Me,23,2017-07-14
2IRjT8MhChDlsXCIJCZiTD,7rkW85dBwwrJtlHRDkJDAC,Perfect Timing (Intro),16,2017-07-14
4VXEIoFGEjhFMW7wYAvWSf,0iEtIxbK0KxaSlF7G42ZOp,No Complaints,55,2017-06-23
31DNY6Wh1KwZWnHrKfIcge,13QsttIeMOYi4ynVF4MxHA,New Designer,10,2016-07-03
5MzXKuMAn7DjzWnbngQuIv,0iEtIxbK0KxaSlF7G42ZOp,Chanel Vintage (feat. Future & Young Thug) - Single,11,2014-07-28
1ouI9Zw1upjregbkU62YeN,0iEtIxbK0KxaSlF7G42ZOp,Chanel Vintage (feat. Future & Young Thug) - Single,22,2014-07-28
4deOMAH3dPtOXlIRL8uch8,54QA4zjZDOyaLN8bVthBjP,Westside,41,2019-11-08
7La1e2X4YVS5QnaYvcGRaC,1RShPfeeYssFJ8EGep00bz,Dead Meat 2.0,29,2019-09-07
43hkpkG0td7h54eq39Zcm9,0LyfQWJT6nXafLPZqxe9Of,Hip Hop Cardio,39,2019-08-23
24UeJigGG0WqQfwUn57zKA,54QA4zjZDOyaLN8bVthBjP,Go Viral (feat. Future & Metro Boomin),53,2019-08-12
2kd8djDsRvRuFRpnk2DPPK,54QA4zjZDOyaLN8bVthBjP,Go Viral (feat. Future & Metro Boomin),19,2019-08-12
59zpaLOByFkJhc9D5Xqna9,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,80,2019-08-16
4Zj2n2ZiCXFY1iC3XrKa7j,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 1,46,2017-12-08
07Jvk8tGuaMhR4H72znlLJ,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 1,70,2017-12-08
19z8fbMaBbjvUtpRlJvEqc,6i392l38cR3uBPF0DbNs7S,Once Again,46,2019-08-09
1y1l71S4ZveVZQRuqcZk0u,6i392l38cR3uBPF0DbNs7S,Intro,55,2019-08-01
7mdB4ZccUmCC45eBG4wVAm,6i392l38cR3uBPF0DbNs7S,Longtime,39,2019-08-01
0ssH9wMngti9j73Rb9kcfO,6i392l38cR3uBPF0DbNs7S,Baby,74,2019-07-17
5SxAvNQjRSTJ3Y7Np180qY,6i392l38cR3uBPF0DbNs7S,Come On,44,2019-07-17
